time,"V(B1|XDUT)","V(B2|XDUT)","V(B1|XLOAD)","V(B2|XLOAD)","P(B1|XDUT)","P(B2|XDUT)","P(B1|XLOAD)","P(B2|XLOAD)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-14,2.629074e-07,2.881130e-07,2.867246e-07,2.577710e-07,2.662844e-05,2.918138e-05,2.904076e-05,2.610820e-05
1.000000e-13,8.706306e-07,9.540001e-07,9.493609e-07,8.527833e-07,1.236860e-04,1.355339e-04,1.348766e-04,1.211847e-04
1.500000e-13,1.842067e-06,2.018852e-06,2.008930e-06,1.802259e-06,3.426113e-04,3.754632e-04,3.736286e-04,3.354177e-04
2.000000e-13,3.170516e-06,3.476659e-06,3.459360e-06,3.098007e-06,7.367105e-04,8.075712e-04,8.035921e-04,7.206088e-04
2.500000e-13,4.836427e-06,5.308207e-06,5.281423e-06,4.718997e-06,1.357932e-03,1.489246e-03,1.481840e-03,1.326967e-03
3.000000e-13,6.812056e-06,7.486093e-06,7.447714e-06,6.635972e-06,2.254962e-03,2.474697e-03,2.462260e-03,2.201208e-03
3.500000e-13,9.063523e-06,9.976805e-06,9.924731e-06,8.813520e-06,3.471966e-03,3.813676e-03,3.794288e-03,3.385294e-03
4.000000e-13,1.155206e-05,1.274189e-05,1.267403e-05,1.121135e-05,5.047679e-03,5.550558e-03,5.521981e-03,4.915526e-03
4.500000e-13,1.423507e-05,1.573887e-05,1.565314e-05,1.378539e-05,7.014709e-03,7.723623e-03,7.683298e-03,6.821849e-03
5.000000e-13,1.706707e-05,1.892205e-05,1.881636e-05,1.648877e-05,9.399014e-03,1.036449e-02,1.030954e-02,9.127347e-03
5.500000e-13,2.000070e-05,2.224339e-05,2.211565e-05,1.927292e-05,1.221954e-02,1.349769e-02,1.342493e-02,1.184789e-02
6.000000e-13,2.298772e-05,2.565333e-05,2.550142e-05,2.208858e-05,1.548802e-02,1.714037e-02,1.704629e-02,1.499197e-02
6.500000e-13,2.597995e-05,2.910166e-05,2.892343e-05,2.488683e-05,1.920888e-02,2.130215e-02,2.118291e-02,1.856065e-02
7.000000e-13,2.893024e-05,3.253832e-05,3.233159e-05,2.762008e-05,2.337935e-02,2.598503e-02,2.583647e-02,2.254769e-02
7.500000e-13,3.179333e-05,3.591427e-05,3.567682e-05,3.024305e-05,2.798968e-02,3.118355e-02,3.100116e-02,2.693986e-02
8.000000e-13,3.452673e-05,3.918226e-05,3.891180e-05,3.271361e-05,3.302348e-02,3.688495e-02,3.666389e-02,3.171730e-02
8.500000e-13,3.709142e-05,4.229756e-05,4.199176e-05,3.499357e-05,3.845819e-02,4.306950e-02,4.280458e-02,3.685408e-02
9.000000e-13,3.945255e-05,4.521866e-05,4.487514e-05,3.704940e-05,4.426570e-02,4.971097e-02,4.939663e-02,4.231888e-02
9.500000e-13,4.158001e-05,4.790791e-05,4.752423e-05,3.885281e-05,5.041294e-02,5.677712e-02,5.640745e-02,4.807566e-02
1.000000e-12,4.344885e-05,5.033201e-05,4.990573e-05,4.038115e-05,5.686272e-02,6.423035e-02,6.379907e-02,5.408457e-02
