time,"V(B1|XDUT)","V(B2|XDUT)","V(B1|XLOAD)","V(B2|XLOAD)","P(B1|XDUT)","P(B2|XDUT)","P(B1|XLOAD)","P(B2|XLOAD)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,6.574403e-08,7.207891e-08,7.173521e-08,6.453348e-08,3.329426e-06,3.650238e-06,3.632832e-06,3.268120e-06
5.000000e-14,2.189123e-07,2.399320e-07,2.387835e-07,2.147892e-07,1.552545e-05,1.701768e-05,1.693631e-05,1.523490e-05
7.500000e-14,4.663237e-07,5.109732e-07,5.085165e-07,4.573221e-07,4.320647e-05,4.735033e-05,4.712322e-05,4.238365e-05
1.000000e-13,8.095314e-07,8.868939e-07,8.826095e-07,7.934918e-07,9.342997e-05,1.023755e-04,1.018828e-04,9.161744e-05
1.250000e-13,1.248020e-06,1.367183e-06,1.360544e-06,1.222608e-06,1.733737e-04,1.899545e-04,1.890371e-04,1.699443e-04
1.500000e-13,1.780277e-06,1.950305e-06,1.940783e-06,1.742986e-06,2.901788e-04,3.179153e-04,3.163741e-04,2.843220e-04
1.750000e-13,2.404158e-06,2.634103e-06,2.621166e-06,2.352305e-06,4.508659e-04,4.939658e-04,4.915615e-04,4.415739e-04
2.000000e-13,3.117022e-06,3.415937e-06,3.399054e-06,3.047744e-06,6.622812e-04,7.256400e-04,7.220930e-04,6.483358e-04
2.250000e-13,3.915789e-06,4.292748e-06,4.271389e-06,3.826038e-06,9.310574e-04,1.020259e-03,1.015250e-03,9.110156e-04
2.500000e-13,4.796974e-06,5.261089e-06,5.234724e-06,4.683514e-06,1.263579e-03,1.384899e-03,1.378067e-03,1.235759e-03
2.750000e-13,5.756714e-06,6.317147e-06,6.285248e-06,5.616115e-06,1.665952e-03,1.826360e-03,1.817305e-03,1.628420e-03
