time,"V(B1|XDUT)","V(B2|XDUT)","P(B1|XDUT)","P(B2|XDUT)"
7.800000e-12,1.408279e-05,1.564590e-05,7.310751e-01,7.392657e-01
7.900000e-12,1.251556e-05,1.544592e-05,7.350864e-01,7.439463e-01
8.000000e-12,1.070938e-05,1.467965e-05,7.385929e-01,7.484801e-01
8.100000e-12,8.783428e-06,1.339368e-05,7.415410e-01,7.527045e-01
8.200000e-12,6.855388e-06,1.166116e-05,7.439123e-01,7.564748e-01
8.300000e-12,5.033511e-06,9.577181e-06,7.457224e-01,7.596717e-01
8.400000e-12,3.409965e-06,7.253142e-06,7.470165e-01,7.622065e-01
8.500000e-12,2.055888e-06,4.810476e-06,7.478644e-01,7.640259e-01
8.600000e-12,1.018327e-06,2.374029e-06,7.483533e-01,7.651133e-01
8.700000e-12,3.191101e-07,6.542242e-08,7.485809e-01,7.654890e-01
8.800000e-12,-4.441142e-08,-2.003271e-06,7.486477e-01,7.652085e-01
8.900000e-12,-9.695615e-08,-3.735259e-06,7.486504e-01,7.643583e-01
9.000000e-12,1.184556e-07,-5.053874e-06,7.486753e-01,7.630511e-01
9.100000e-12,5.452565e-07,-5.906306e-06,7.487940e-01,7.614190e-01
9.200000e-12,1.118650e-06,-6.266029e-06,7.490602e-01,7.596056e-01
9.300000e-12,1.771059e-06,-6.133779e-06,7.495077e-01,7.577587e-01
9.400000e-12,2.437281e-06,-5.537047e-06,7.501506e-01,7.560214e-01
9.500000e-12,3.059004e-06,-4.528084e-06,7.509845e-01,7.545250e-01
9.600000e-12,3.588379e-06,-3.180536e-06,7.519894e-01,7.533820e-01
9.700000e-12,3.990461e-06,-1.584904e-06,7.531327e-01,7.526799e-01
9.800000e-12,4.244434e-06,1.569103e-07,7.543736e-01,7.524777e-01
9.900000e-12,4.343619e-06,1.937646e-06,7.556671e-01,7.528028e-01
1.000000e-11,4.294389e-06,3.650932e-06,7.569682e-01,7.536507e-01
1.010000e-11,5.126562e-06,5.260262e-06,7.584404e-01,7.549989e-01
1.020000e-11,8.364732e-06,6.782005e-06,7.606255e-01,7.568221e-01
1.030000e-11,1.553656e-05,8.270983e-06,7.645011e-01,7.591053e-01
1.040000e-11,2.787326e-05,9.814508e-06,7.714393e-01,7.618545e-01
1.050000e-11,4.615604e-05,1.152971e-05,7.831018e-01,7.651064e-01
1.060000e-11,7.066070e-05,1.355983e-05,8.013029e-01,7.689372e-01
1.070000e-11,1.011735e-04,1.606745e-05,8.278646e-01,7.734689e-01
1.080000e-11,1.370634e-04,1.922425e-05,8.644833e-01,7.788737e-01
1.090000e-11,1.774003e-04,2.319814e-05,9.126253e-01,7.853746e-01
1.100000e-11,2.211076e-04,2.813925e-05,9.734622e-01,7.932416e-01
1.110000e-11,2.661241e-04,3.410403e-05,1.047650e+00,8.027724e-01
1.120000e-11,3.100884e-04,4.106738e-05,1.135193e+00,8.142683e-01
1.130000e-11,3.509585e-04,4.893599e-05,1.235468e+00,8.280132e-01
1.140000e-11,3.873867e-04,5.755777e-05,1.347365e+00,8.442543e-01
1.150000e-11,4.188854e-04,6.673259e-05,1.469517e+00,8.631859e-01
1.160000e-11,4.458394e-04,7.622814e-05,1.600548e+00,8.849379e-01
1.170000e-11,4.694128e-04,8.580161e-05,1.739313e+00,9.095693e-01
1.180000e-11,4.913955e-04,9.522596e-05,1.885110e+00,9.370696e-01
1.190000e-11,5.140319e-04,1.043184e-04,2.037836e+00,9.673680e-01
1.200000e-11,5.398619e-04,1.129683e-04,2.198104e+00,1.000351e+00
1.210000e-11,5.715921e-04,1.211619e-04,2.367313e+00,1.035889e+00
1.220000e-11,6.119921e-04,1.290029e-04,2.547687e+00,1.073868e+00
1.230000e-11,6.637869e-04,1.367256e-04,2.742274e+00,1.114223e+00
1.240000e-11,7.294837e-04,1.447038e-04,2.954907e+00,1.156988e+00
1.250000e-11,8.110243e-04,1.534504e-04,3.190073e+00,1.202327e+00
