time,"V(OUT1)","V(B1|XDCSFQ)","V(B2|XDCSFQ)","V(B3|XDCSFQ)","P(B1|XDCSFQ)","P(B2|XDCSFQ)","P(B3|XDCSFQ)"
4.700000e-12,6.749606e-05,-2.812077e-05,5.514702e-05,5.226020e-05,-3.344846e-01,6.994006e-01,6.036027e-01
4.800000e-12,6.687255e-05,-2.719095e-05,5.502415e-05,5.160245e-05,-3.428906e-01,7.161737e-01,6.193944e-01
4.900000e-12,6.632162e-05,-2.639987e-05,5.540625e-05,5.120064e-05,-3.510404e-01,7.329884e-01,6.350299e-01
5.000000e-12,6.590121e-05,-2.580330e-05,5.627390e-05,5.109459e-05,-3.589839e-01,7.499926e-01,6.505920e-01
5.100000e-12,6.156353e-05,-2.488866e-05,5.611696e-05,5.029126e-05,-3.666734e-01,7.670282e-01,6.659668e-01
5.200000e-12,5.808028e-05,-2.354815e-05,5.449357e-05,4.850719e-05,-3.740067e-01,7.837455e-01,6.809178e-01
5.300000e-12,5.501288e-05,-2.180548e-05,5.134658e-05,4.571779e-05,-3.808683e-01,7.997191e-01,6.951624e-01
5.400000e-12,5.197289e-05,-1.973614e-05,4.680205e-05,4.202472e-05,-3.871534e-01,8.145243e-01,7.084235e-01
5.500000e-12,4.870273e-05,-1.743563e-05,4.109079e-05,3.760036e-05,-3.927803e-01,8.277831e-01,7.204606e-01
5.600000e-12,4.507583e-05,-1.500457e-05,3.450907e-05,3.265726e-05,-3.976955e-01,8.391932e-01,7.310883e-01
5.700000e-12,4.107192e-05,-1.254010e-05,2.739176e-05,2.742653e-05,-4.018741e-01,8.485452e-01,7.401866e-01
5.800000e-12,3.674811e-05,-1.013044e-05,2.008951e-05,2.214051e-05,-4.053190e-01,8.557321e-01,7.477044e-01
5.900000e-12,3.221257e-05,-7.851319e-06,1.294835e-05,1.701867e-05,-4.080578e-01,8.607507e-01,7.536577e-01
6.000000e-12,2.760238e-05,-5.763991e-06,6.291297e-06,1.225633e-05,-4.101383e-01,8.636979e-01,7.581250e-01
6.100000e-12,2.306571e-05,-3.914575e-06,4.024201e-07,8.016369e-06,-4.116248e-01,8.647619e-01,7.612379e-01
6.200000e-12,1.874775e-05,-2.334394e-06,-4.486271e-06,4.423660e-06,-4.125932e-01,8.642078e-01,7.631716e-01
6.300000e-12,1.477997e-05,-1.041110e-06,-8.204810e-06,1.562113e-06,-4.131269e-01,8.623610e-01,7.641327e-01
6.400000e-12,1.127230e-05,-4.035504e-08,-1.065177e-05,-5.258512e-07,-4.133129e-01,8.595877e-01,7.643465e-01
6.500000e-12,8.307922e-06,6.723911e-07,-1.179710e-05,-1.837726e-06,-4.132388e-01,8.562735e-01,7.640455e-01
6.600000e-12,5.940342e-06,1.109891e-06,-1.168111e-05,-2.407533e-06,-4.129892e-01,8.528026e-01,7.634575e-01
6.700000e-12,4.192573e-06,1.291392e-06,-1.040976e-05,-2.300979e-06,-4.126444e-01,8.495369e-01,7.627953e-01
6.800000e-12,3.058042e-06,1.241118e-06,-8.146409e-06,-1.609521e-06,-4.122781e-01,8.467981e-01,7.622486e-01
6.900000e-12,2.503032e-06,9.870859e-07,-5.100499e-06,-4.437283e-07,-4.119560e-01,8.448520e-01,7.619765e-01
7.000000e-12,2.470336e-06,5.602080e-07,-1.513852e-06,1.073695e-06,-4.117352e-01,8.438967e-01,7.621033e-01
7.100000e-12,2.883808e-06,-6.340396e-09,2.354539e-06,2.814839e-06,-4.116628e-01,8.440552e-01,7.627157e-01
7.200000e-12,3.653513e-06,-6.776017e-07,6.244256e-06,4.653152e-06,-4.117760e-01,8.453729e-01,7.638625e-01
7.300000e-12,4.681144e-06,-1.417258e-06,9.908709e-06,6.469343e-06,-4.121008e-01,8.478193e-01,7.655552e-01
7.400000e-12,5.865421e-06,-2.188108e-06,1.312889e-05,8.156384e-06,-4.126523e-01,8.512943e-01,7.677717e-01
7.500000e-12,7.107195e-06,-2.952676e-06,1.572482e-05,9.623471e-06,-4.134343e-01,8.556380e-01,7.704599e-01
7.600000e-12,8.314015e-06,-3.674034e-06,1.756394e-05,1.079882e-05,-4.144392e-01,8.606438e-01,7.735435e-01
7.700000e-12,9.403985e-06,-4.316831e-06,1.856622e-05,1.163132e-05,-4.156486e-01,8.660734e-01,7.769275e-01
7.800000e-12,1.030878e-05,-4.848530e-06,1.870568e-05,1.209103e-05,-4.170339e-01,8.716724e-01,7.805048e-01
7.900000e-12,1.097572e-05,-5.240785e-06,1.800858e-05,1.216867e-05,-4.185573e-01,8.771867e-01,7.841622e-01
8.000000e-12,1.136897e-05,-5.470848e-06,1.654864e-05,1.187421e-05,-4.201733e-01,8.823771e-01,7.877867e-01
8.100000e-12,1.146975e-05,-5.522919e-06,1.443975e-05,1.123476e-05,-4.218308e-01,8.870322e-01,7.912706e-01
8.200000e-12,1.127581e-05,-5.389279e-06,1.182680e-05,1.029185e-05,-4.234749e-01,8.909797e-01,7.945168e-01
8.300000e-12,1.080013e-05,-5.071107e-06,8.875469e-06,9.098450e-06,-4.250502e-01,8.940934e-01,7.974419e-01
8.400000e-12,1.006907e-05,-4.578858e-06,5.761427e-06,7.715651e-06,-4.265029e-01,8.962984e-01,7.999799e-01
8.500000e-12,9.120068e-06,-3.932141e-06,2.659754e-06,6.209431e-06,-4.277836e-01,8.975722e-01,8.020837e-01
8.600000e-12,7.999033e-06,-3.159037e-06,-2.649381e-07,4.647431e-06,-4.288505e-01,8.979431e-01,8.037264e-01
8.700000e-12,6.757601e-06,-2.294881e-06,-2.867187e-06,3.095945e-06,-4.296709e-01,8.974859e-01,8.049011e-01
8.800000e-12,5.450346e-06,-1.380538e-06,-5.027787e-06,1.617203e-06,-4.302241e-01,8.963151e-01,8.056203e-01
8.900000e-12,4.132080e-06,-4.602604e-07,-6.659041e-06,2.669854e-07,-4.305017e-01,8.945759e-01,8.059141e-01
9.000000e-12,2.855350e-06,4.207424e-07,-7.707973e-06,-9.073422e-07,-4.305090e-01,8.924347e-01,8.058282e-01
9.100000e-12,1.668192e-06,1.218885e-06,-8.157424e-06,-1.868371e-06,-4.302646e-01,8.900686e-01,8.054211e-01
9.200000e-12,6.122324e-07,1.894766e-06,-8.025073e-06,-2.589721e-06,-4.297992e-01,8.876542e-01,8.047608e-01
9.300000e-12,-2.788279e-07,2.415541e-06,-7.360509e-06,-3.056641e-06,-4.291548e-01,8.853585e-01,8.039216e-01
9.400000e-12,-9.803053e-07,2.756941e-06,-6.240599e-06,-3.266125e-06,-4.283815e-01,8.833290e-01,8.029802e-01
9.500000e-12,-1.477182e-06,2.904800e-06,-4.763494e-06,-3.226563e-06,-4.275354e-01,8.816876e-01,8.020128e-01
9.600000e-12,-1.764304e-06,2.855973e-06,-3.041680e-06,-2.956940e-06,-4.266748e-01,8.805243e-01,8.010913e-01
9.700000e-12,-1.846151e-06,2.618573e-06,-1.194540e-06,-2.485620e-06,-4.258575e-01,8.798946e-01,8.002807e-01
9.800000e-12,-1.736182e-06,2.211498e-06,6.590975e-07,-1.848768e-06,-4.251371e-01,8.798182e-01,7.996360e-01
9.900000e-12,-1.455823e-06,1.663273e-06,2.407949e-06,-1.088469e-06,-4.245600e-01,8.802805e-01,7.992006e-01
1.000000e-11,-1.033137e-06,1.010277e-06,3.954395e-06,-2.506357e-07,-4.241630e-01,8.812357e-01,7.990047e-01
1.010000e-11,2.719004e-07,4.367931e-06,8.499279e-06,8.088092e-07,-4.231458e-01,8.832757e-01,7.991032e-01
1.020000e-11,1.622226e-06,1.260677e-05,1.676803e-05,2.121482e-06,-4.202530e-01,8.873524e-01,7.995658e-01
1.030000e-11,3.108184e-06,2.537118e-05,2.855213e-05,3.690248e-06,-4.141494e-01,8.944951e-01,8.004675e-01
1.040000e-11,4.804274e-06,4.169229e-05,4.319067e-05,5.512670e-06,-4.036692e-01,9.056251e-01,8.018848e-01
1.050000e-11,6.755680e-06,6.026900e-05,5.978091e-05,7.587016e-06,-3.879672e-01,9.214448e-01,8.038941e-01
1.060000e-11,8.979788e-06,7.964303e-05,7.730644e-05,9.911422e-06,-3.666000e-01,9.423780e-01,8.065716e-01
1.070000e-11,1.147164e-05,9.833920e-05,9.473967e-05,1.248030e-05,-3.395572e-01,9.685470e-01,8.099923e-01
1.080000e-11,1.420930e-05,1.149886e-04,1.111310e-04,1.527993e-05,-3.072497e-01,9.997817e-01,8.142277e-01
1.090000e-11,1.715818e-05,1.284351e-04,1.256830e-04,1.828455e-05,-2.704636e-01,1.035653e+00,8.193434e-01
1.100000e-11,2.027410e-05,1.378212e-04,1.378061e-04,2.145367e-05,-2.302833e-01,1.075525e+00,8.253945e-01
1.110000e-11,2.350575e-05,1.426464e-04,1.471508e-04,2.473123e-05,-1.879941e-01,1.118624e+00,8.324213e-01
1.120000e-11,2.679665e-05,1.427946e-04,1.536161e-04,2.804691e-05,-1.449720e-01,1.164108e+00,8.404450e-01
