role,bjl2_classification,bjl2_activity_p2p_turns,bjl2_largest_turns,bjl2_area_phi0,bjs_activity_p2p_turns,bjl1_activity_p2p_turns
logical1_read,SUBTHRESHOLD,0.1640776691437049,-0.12212780022947484,-0.12213103894324581,6.168143087203761,0.3461392070539228
logical0_read,SUBTHRESHOLD,0.03283161166109212,-0.018375790996975592,-0.018377025537921764,0.13285543226715804,0.07685257976527134
logical1_no_read_control,SUBTHRESHOLD,8.89676131883657e-06,8.89676131883657e-06,8.887113369395816e-06,7.09169120781534e-05,2.823408690451015e-05
logical0_no_read_control,SUBTHRESHOLD,8.833099341597982e-06,-8.833099341597982e-06,-8.82885707012085e-06,7.191416103607291e-05,2.8074931961413677e-05
