time,"I(I_WL1)","I(I_BL1)","I(I_SE1)","I(BVMOUT)","V(QBIN)","V(QBOUT)","V(O1)","V(O2)","V(O2)","V(O3)","V(O4)","V(O5)","V(O6)","P(BJ1|XBQ1)","P(B01|XJTL1_1)","P(B01|XJTL1_2)"
4.500000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.382741e-07,1.408726e-07,2.365536e-08,1.664264e-09,1.648920e-10,1.648920e-10,1.237828e-11,8.825289e-13,1.025765e-13,1.315646e-14,1.347706e+00,8.049605e-01,7.790132e-01
4.505000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.371838e-07,1.398151e-07,2.339469e-08,1.656694e-09,1.659298e-10,1.659298e-10,1.204718e-11,8.997477e-13,1.019978e-13,1.274705e-14,1.347719e+00,8.049622e-01,7.790133e-01
4.510000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.360722e-07,1.389591e-07,2.310970e-08,1.652794e-09,1.666500e-10,1.666500e-10,1.172527e-11,9.191428e-13,1.010436e-13,1.237162e-14,1.347732e+00,8.049639e-01,7.790135e-01
4.520000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.337898e-07,1.378605e-07,2.248234e-08,1.655481e-09,1.670433e-10,1.670433e-10,1.113014e-11,9.623638e-13,9.805164e-14,1.174243e-14,1.347757e+00,8.049673e-01,7.790137e-01
4.525000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.326226e-07,1.376126e-07,2.214865e-08,1.661637e-09,1.666874e-10,1.666874e-10,1.086655e-11,9.850764e-13,9.607585e-14,1.150019e-14,1.347770e+00,8.049691e-01,7.790138e-01
4.530000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.314410e-07,1.375557e-07,2.180783e-08,1.670609e-09,1.659567e-10,1.659567e-10,1.063121e-11,1.007778e-12,9.381779e-14,1.131000e-14,1.347783e+00,8.049708e-01,7.790139e-01
4.535000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.302479e-07,1.376776e-07,2.146473e-08,1.682038e-09,1.648557e-10,1.648557e-10,1.042755e-11,1.029903e-12,9.132626e-14,1.117737e-14,1.347795e+00,8.049726e-01,7.790140e-01
4.540000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.290464e-07,1.379627e-07,2.112421e-08,1.695517e-09,1.633965e-10,1.633965e-10,1.025836e-11,1.050898e-12,8.864783e-14,1.109845e-14,1.347808e+00,8.049743e-01,7.790142e-01
4.545000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.278398e-07,1.383924e-07,2.079111e-08,1.710602e-09,1.615984e-10,1.615984e-10,1.012568e-11,1.070263e-12,8.583074e-14,1.107653e-14,1.347821e+00,8.049760e-01,7.790143e-01
4.550000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.266317e-07,1.389451e-07,2.047006e-08,1.726821e-09,1.594874e-10,1.594874e-10,1.003080e-11,1.087508e-12,8.292706e-14,1.110886e-14,1.347834e+00,8.049777e-01,7.790144e-01
4.555000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.254256e-07,1.395972e-07,2.016547e-08,1.743686e-09,1.570958e-10,1.570958e-10,9.974239e-12,1.102211e-12,7.999159e-14,1.119272e-14,1.347847e+00,8.049794e-01,7.790145e-01
