time,"V(B1|XDUT)","V(B2|XDUT)","V(B1|XLOAD)","V(B2|XLOAD)","P(B1|XDUT)","P(B2|XDUT)","P(B1|XLOAD)","P(B2|XLOAD)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,1.044930e-06,1.146188e-06,1.140514e-06,1.021680e-06,2.116705e-04,2.321822e-04,2.310328e-04,2.069606e-04
2.000000e-13,3.379509e-06,3.712878e-06,3.694024e-06,3.295938e-06,9.668111e-04,1.061690e-03,1.056338e-03,9.436024e-04
3.000000e-13,6.950885e-06,7.657356e-06,7.617194e-06,6.757856e-06,2.626558e-03,2.889336e-03,2.874448e-03,2.558082e-03
4.000000e-13,1.155409e-05,1.277829e-05,1.270850e-05,1.119086e-05,5.520308e-03,6.087037e-03,6.054833e-03,5.363162e-03
5.000000e-13,1.689673e-05,1.878252e-05,1.867472e-05,1.629182e-05,9.907645e-03,1.095769e-02,1.089788e-02,9.598406e-03
6.000000e-13,2.263853e-05,2.532271e-05,2.516843e-05,2.171169e-05,1.595596e-02,1.771084e-02,1.761057e-02,1.540827e-02
7.000000e-13,2.842323e-05,3.202643e-05,3.181704e-05,2.708889e-05,2.372972e-02,2.644945e-02,2.629328e-02,2.283226e-02
8.000000e-13,3.390709e-05,3.852228e-05,3.824889e-05,3.207914e-05,3.318951e-02,3.716574e-02,3.693556e-02,3.180516e-02
9.000000e-13,3.878396e-05,4.446371e-05,4.411721e-05,3.638179e-05,4.419919e-02,4.974481e-02,4.941976e-02,4.216595e-02
1.000000e-12,4.280593e-05,4.955015e-05,4.912127e-05,3.976115e-05,5.654025e-02,6.397516e-02,6.353161e-02,5.367393e-02
1.100000e-12,4.579832e-05,5.354420e-05,5.302381e-05,4.206165e-05,6.993125e-02,7.956500e-02,7.897654e-02,6.603030e-02
1.200000e-12,4.766837e-05,5.628425e-05,5.566373e-05,4.321597e-05,8.405105e-02,9.616306e-02,9.540059e-02,7.890331e-02
1.300000e-12,4.840732e-05,5.769172e-05,5.696360e-05,4.324581e-05,9.856347e-02,1.133823e-01,1.124143e-01,9.195457e-02
