case,role,window,kind,signal,unit,n,min,max,median,mean,p2p,signed_integral,dynamic_integral,baseline_median
C13.logical1_read,logical1_read,ACTIVE,kcl_residual,node4,A,2880,,,,,,,,
C13.logical1_read,logical1_read,TRANSITION,branch_current,source,A,800,-4.864619e-06,4.790866e-06,-2.440854e-07,-2.2714293447099996e-07,9.655485e-06,-2.2577460072100144e-18,-2.2713015066287655e-18,1.3572465e-09
C13.logical1_read,logical1_read,TRANSITION,branch_current,lin,A,800,-4.864619e-06,4.790866e-06,-2.440854e-07,-2.2714293447099996e-07,9.655485e-06,-2.2577460072100144e-18,-2.2713015066287655e-18,1.3572465e-09
C13.logical1_read,logical1_read,TRANSITION,branch_current,BJs,A,800,-4.864619e-06,4.790866e-06,-2.440854e-07,-2.2714293447099996e-07,9.655485e-06,-2.2577460072100144e-18,-2.2713015066287655e-18,1.3572465e-09
C13.logical1_read,logical1_read,TRANSITION,branch_current,BJL1,A,800,1.148977e-05,1.854552e-05,1.5261985e-05,1.51437938e-05,7.055749999999999e-06,1.5126227268750018e-16,2.4448118749997955e-19,1.5120680000000001e-05
C13.logical1_read,logical1_read,TRANSITION,branch_current,BJL2,A,800,1.824804e-05,2.138245e-05,1.9772115e-05,1.981203405e-05,3.134409999999999e-06,1.9787290200000026e-16,-6.66163562500003e-19,1.9878755e-05
C13.logical1_read,logical1_read,TRANSITION,branch_current,L0,A,800,-2.890033e-06,2.872676e-06,-1.6678805e-07,-6.889696432875e-08,5.7627089999999995e-06,-6.906574320375041e-19,-6.956049758675039e-19,4.953736e-10
C13.logical1_read,logical1_read,TRANSITION,branch_current,L1,A,800,-1.93352e-05,-1.079709e-05,-1.551379e-05,-1.53009365875e-05,8.538110000000001e-06,-1.528219856875002e-16,-1.8096373750000027e-18,-1.5120135e-05
C13.logical1_read,logical1_read,TRANSITION,branch_current,L2,A,800,1.56648e-05,2.420291e-05,1.9486209999999997e-05,1.96990634125e-05,8.53811e-06,1.9674051431250028e-16,-1.809637375000006e-18,1.9879865e-05
C13.logical1_read,logical1_read,TRANSITION,branch_current,RB,A,800,3.5e-05,3.5e-05,3.5e-05,3.499999999999999e-05,0.0,3.4956250000000044e-16,0.0,3.5e-05
C13.logical1_read,logical1_read,TRANSITION,branch_current,RJ1,A,800,-2.858019e-06,2.894131e-06,-1.846269e-07,-7.000044318750003e-08,5.7521500000000005e-06,-6.980359712500014e-19,-7.059317461787508e-19,7.905657e-10
C13.logical1_read,logical1_read,TRANSITION,branch_current,RJ2,A,800,-1.40054e-06,1.394491e-06,-1.1485965000000001e-07,-4.407348390399998e-08,2.795031e-06,-4.417283627900015e-19,-4.462206459081268e-19,4.4979055e-10
C13.logical1_read,logical1_read,TRANSITION,kcl_residual,input,A,800,,,,,,,,
C13.logical1_read,logical1_read,TRANSITION,kcl_residual,node2,A,800,,,,,,,,
C13.logical1_read,logical1_read,TRANSITION,kcl_residual,node3,A,800,,,,,,,,
C13.logical1_read,logical1_read,TRANSITION,kcl_residual,node4,A,800,,,,,,,,
C13.logical1_read,logical1_read,POST,branch_current,source,A,2400,-1.924829e-06,2.140637e-06,5.089246e-09,2.147422049874166e-08,4.065466e-06,6.382245012122398e-19,5.9752407179349e-19,1.3572465e-09
C13.logical1_read,logical1_read,POST,branch_current,lin,A,2400,-1.924829e-06,2.140637e-06,5.089246e-09,2.147422049874166e-08,4.065466e-06,6.382245012122398e-19,5.9752407179349e-19,1.3572465e-09
C13.logical1_read,logical1_read,POST,branch_current,BJs,A,2400,-1.924829e-06,2.140637e-06,5.089246e-09,2.147422049874166e-08,4.065466e-06,6.382245012122398e-19,5.9752407179349e-19,1.3572465e-09
C13.logical1_read,logical1_read,POST,branch_current,BJL1,A,2400,1.364446e-05,1.67401e-05,1.5113295e-05,1.5108947308333332e-05,3.095639999999999e-06,4.530740439375e-16,-3.5734756250004575e-19,1.5120680000000001e-05
